state_code,derived_race,derived_ethnicity,derived_sex,applicant_age,derived_loan_product_type,funnel_stage,leakage_category,denial_reason_label,is_approved_not_converted,income_band,loan_amount_band,property_value_band,ltv_band,rate_spread_band,dti_band,area_median_income_band,n_aplicaciones,total_loan_amount,total_income,n_con_income,total_rate_spread,n_con_rate_spread,total_origination_charges,n_con_origination_charges,total_interest_rate,n_con_interest_rate,total_loan_costs_sum,n_con_total_loan_costs,total_discount_points,n_con_discount_points,total_property_value,n_con_property_value
IN,White,Not Hispanic or Latino,Joint,65-74,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Alto ($485K+),Bajo (<79.7%),Normal (0 a 1.29),Medio (30%-50%),Medio,9,2485000.0,1071.0,9,2.4082000000000003,9,17453.06,9,59.99,9,28688.79,9,7139.0599999999995,3,5175000.0,9
IN,White,Not Hispanic or Latino,Male,25-34,FHA:First Lien,Denied,Risk-based leakage,Credit history,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Alto (94.3%+),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Medio,2,350000.0,117.0,2,,0,,0,,0,,0,,0,350000.0,2
IN,Race Not Available,Joint,Joint,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Bajo (<30%),Medio,1,325000.0,151.0,1,0.036,1,1295.0,1,6.125,1,3249.9,1,,0,335000.0,1
NY,Race Not Available,Not Hispanic or Latino,Male,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Alto,5,2825000.0,1038.0,5,2.117,5,36818.94,5,33.125,5,58799.14,5,16311.94,2,3225000.0,5
NY,Race Not Available,Ethnicity Not Available,Joint,35-44,FHA:First Lien,Incomplete,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Sin dato de área,1,545000.0,124.0,1,,0,,0,,0,,0,,0,,0
NY,White,Hispanic or Latino,Male,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Alto,6,2990000.0,695.0,6,-1.916,6,71750.03,6,37.637,6,97512.7,6,21029.4,4,4370000.0,6
WI,White,Not Hispanic or Latino,Male,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Medio ($205K-$405K),Medio ($265K-$485K),Bajo (<79.7%),Mejor que el mercado (<0),Bajo (<30%),Bajo,4,1170000.0,937.0,4,-1.287,4,2157.0,4,24.35,4,9501.9,4,,0,1650000.0,4
MD,White,Not Hispanic or Latino,Male,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Medio ($205K-$405K),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Medio,4,1200000.0,1391.0,4,-1.824,4,15170.0,4,24.24,4,24405.41,4,14830.0,3,2620000.0,4
IN,White,Not Hispanic or Latino,Male,25-34,Conventional:First Lien,Preapproval approved not accepted,Process-based leakage,Not applicable,True,Medio ($76K-$146K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Bajo (<30%),Sin dato de área,1,305000.0,135.0,1,,0,,0,,0,,0,,0,,0
IN,White,Not Hispanic or Latino,Female,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Alto ($485K+),Bajo (<79.7%),Normal (0 a 1.29),Medio (30%-50%),Medio,1,255000.0,90.0,1,0.404,1,3795.0,1,7.375,1,5113.16,1,2500.0,1,535000.0,1
NY,White,Not Hispanic or Latino,Joint,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Mejor que el mercado (<0),Bajo (<30%),Medio,138,143520000.0,81882.0,138,-96.05213999999998,138,460510.64,138,771.522,138,1078183.4900000002,136,288579.05000000005,52,177510000.0,138
NY,White,Not Hispanic or Latino,Joint,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Bajo,27,7295000.0,3140.0,27,-7.635999999999999,27,68240.06,27,167.147,27,140080.15,27,28292.8,10,10325000.0,27
NY,Race Not Available,Ethnicity Not Available,Male,35-44,VA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Bajo,1,295000.0,95.0,1,0.0272,1,702.77,1,7.0,1,7721.76,1,702.77,1,365000.0,1
NY,Race Not Available,Ethnicity Not Available,Male,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Alto,7,7615000.0,2475.0,7,-3.0732999999999997,7,37735.5,7,40.525,7,75042.27,7,29422.5,3,10525000.0,7
NY,White,Not Hispanic or Latino,Joint,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Medio ($265K-$485K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Alto,7,2975000.0,1270.0,7,2.91153,7,35751.7,7,49.375,7,63043.41,7,24714.699999999997,7,3185000.0,7
VA,White,Not Hispanic or Latino,Female,25-34,FHA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,18,2630000.0,942.0,18,,0,,0,,0,,0,,0,,0
VA,Race Not Available,Ethnicity Not Available,Sex Not Available,45-54,VA:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Bajo (<$265K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,3,695000.0,192.0,3,1.821,3,6195.81,3,20.375,3,19526.79,3,5994.2,3,695000.0,3
WI,White,Not Hispanic or Latino,Female,<25,Conventional:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Bajo (<$265K),Alto (94.3%+),Elevado (>1.29) — mayor abandono,Medio (30%-50%),Bajo,1,245000.0,65.0,1,1.414,1,1650.0,1,7.875,1,3002.95,1,,0,255000.0,1
WI,White,Not Hispanic or Latino,Male,55-64,VA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Bajo (<$205K),Bajo (<$265K),Bajo (<79.7%),Mejor que el mercado (<0),Bajo (<30%),Bajo,1,155000.0,111.0,1,-0.3603,1,91.13,1,6.75,1,3375.84,1,91.13,1,225000.0,1
WI,White,Not Hispanic or Latino,Joint,<25,Conventional:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,16,2630000.0,926.0,16,8.785,16,19304.95,16,105.936,16,53024.35,16,3709.2,5,2700000.0,16
WI,White,Not Hispanic or Latino,Male,55-64,VA:First Lien,Denied,Risk-based leakage,Unverifiable information,False,Cero (revisar dato),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Alto (50%+),Medio,1,105000.0,,0,,0,,0,,0,,0,,0,,0
WI,White,Not Hispanic or Latino,Joint,65-74,Conventional:Subordinate Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Medio ($205K-$405K),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Bajo,1,385000.0,234.0,1,-0.69,1,,0,7.25,1,,0,,0,795000.0,1
MD,Asian,Not Hispanic or Latino,Male,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,2,380000.0,136.0,2,1.094,2,5184.639999999999,2,14.875,2,11184.99,2,1499.64,1,390000.0,2
MD,White,Not Hispanic or Latino,Female,65-74,Conventional:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Medio ($265K-$485K),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Medio,8,1130000.0,367.0,8,-3.01,8,24195.26,8,47.365,8,41750.98,8,13047.26,6,3090000.0,8
MD,Black or African American,Not Hispanic or Latino,Male,45-54,FHA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Alto,17,8525000.0,2081.0,17,,0,,0,,0,,0,,0,,0
IN,White,Not Hispanic or Latino,Female,55-64,FHA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,14,1650000.0,613.0,14,,0,,0,,0,,0,,0,,0
IN,White,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Medio (79.7%-94.3%),Normal (0 a 1.29),Bajo (<30%),Bajo,21,2245000.0,1184.0,21,9.876,21,34362.880000000005,21,140.25,21,61862.98000000001,21,13311.68,14,2525000.0,21
IN,White,Not Hispanic or Latino,Female,45-54,Conventional:First Lien,Preapproval denied,Process-based leakage,Debt-to-income ratio,False,Medio ($76K-$146K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Sin dato de área,1,135000.0,89.0,1,,0,,0,,0,,0,,0,,0
IN,White,Not Hispanic or Latino,Joint,45-54,FHA:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Bajo (<$265K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,1,215000.0,73.0,1,0.745,1,7806.86,1,6.49,1,13405.13,1,6011.86,1,225000.0,1
NY,White,Not Hispanic or Latino,Joint,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Bajo (<$205K),Bajo (<$265K),Bajo (<79.7%),Mejor que el mercado (<0),Bajo (<30%),Bajo,5,555000.0,1057.0,5,-1.731,5,6914.68,4,28.74,5,17696.07,5,219.68,1,855000.0,5
NY,Asian,Not Hispanic or Latino,Joint,55-64,FHA:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Bajo,1,175000.0,54.0,1,0.876,1,6569.96,1,6.125,1,13041.09,1,4115.08,1,195000.0,1
NY,Race Not Available,Ethnicity Not Available,Female,35-44,FHA:First Lien,Incomplete,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Sin dato de área,1,425000.0,101.0,1,,0,,0,,0,,0,,0,,0
VA,White,Not Hispanic or Latino,Female,55-64,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,9,2325000.0,531.0,9,,0,,0,,0,,0,,0,,0
VA,White,Not Hispanic or Latino,Joint,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Bajo,11,3125000.0,1103.0,11,-4.467499999999999,11,43915.869999999995,11,67.88399999999999,11,71414.09,11,19380.74,7,4325000.0,11
WI,White,Not Hispanic or Latino,Male,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Bajo (<30%),Medio,6,1660000.0,663.0,6,,0,3795.0,6,41.5,6,11634.6,6,,0,1950000.0,6
WI,White,Ethnicity Not Available,Female,35-44,FHA:First Lien,Denied,Risk-based leakage,Collateral,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Medio,1,335000.0,126.0,1,,0,,0,,0,,0,,0,345000.0,1
MD,White,Not Hispanic or Latino,Joint,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Elevado (>1.29) — mayor abandono,Medio (30%-50%),Medio,1,365000.0,131.0,1,1.713,1,7607.73,1,7.875,1,10971.45,1,5812.73,1,375000.0,1
MD,Black or African American,Not Hispanic or Latino,Male,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Alto (50%+),Alto,1,325000.0,90.0,1,1.054,1,7390.35,1,7.625,1,10972.35,1,5595.35,1,335000.0,1
MD,Joint,Not Hispanic or Latino,Joint,35-44,VA:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Alto,2,1510000.0,386.0,2,0.1971,2,4845.79,2,12.875,2,50986.3,2,3350.79,1,1510000.0,2
MD,Asian,Not Hispanic or Latino,Joint,65-74,Conventional:First Lien,Denied,Risk-based leakage,Insufficient cash,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Medio (30%-50%),Alto,1,765000.0,202.0,1,,0,,0,,0,,0,,0,945000.0,1
IN,White,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Medio,9,5375000.0,2294.0,9,3.6153,9,24431.74,9,61.595000000000006,9,41065.09,9,6969.69,2,6255000.0,9
IN,White,Not Hispanic or Latino,Joint,25-34,FHA:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,2,560000.0,147.0,2,0.889,2,11002.71,2,12.25,2,24723.42,2,8212.71,2,580000.0,2
NY,White,Not Hispanic or Latino,Male,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Medio,3,2235000.0,107.0,3,0.672,3,38270.0,3,20.5,3,61877.55,3,36025.0,2,2705000.0,3
NY,Race Not Available,Ethnicity Not Available,Male,25-34,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Sin dato de área,1,335000.0,78.0,1,,0,,0,,0,,0,,0,,0
NY,White,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Medio ($205K-$405K),Medio ($265K-$485K),Medio (79.7%-94.3%),Normal (0 a 1.29),Medio (30%-50%),Alto,2,680000.0,371.0,2,0.334,2,5962.0,2,12.25,2,11553.48,2,2952.0,1,840000.0,2
NY,White,Not Hispanic or Latino,Female,55-64,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Sin dato de área,1,225000.0,59.0,1,,0,,0,,0,,0,,0,,0
GA,Race Not Available,Ethnicity Not Available,Sex Not Available,35-44,FHA:First Lien,Incomplete,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,5,1595000.0,466.0,5,,0,,0,,0,,0,,0,,0
GA,Race Not Available,Ethnicity Not Available,Sex Not Available,25-34,VA:First Lien,Originated,Originated,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Bajo (<$265K),Alto (94.3%+),Normal (0 a 1.29),Alto (50%+),Bajo,1,195000.0,69.0,1,1.246,1,0.0,1,7.75,1,5077.75,1,,0,195000.0,1
GA,White,Not Hispanic or Latino,Joint,25-34,FHA:First Lien,Incomplete,Process-based leakage,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,7,2055000.0,730.0,7,,0,,0,,0,,0,,0,,0
GA,Asian,Not Hispanic or Latino,Female,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Medio ($265K-$485K),Medio (79.7%-94.3%),Mejor que el mercado (<0),Medio (30%-50%),Medio,8,3370000.0,723.0,8,-4.217,8,46560.740000000005,8,47.615,8,73722.7,8,13399.73,4,3750000.0,8
TN,White,Ethnicity Not Available,Joint,55-64,Conventional:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Alto ($146K+),Alto ($405K+),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,6,3440000.0,1360.0,6,,0,,0,,0,,0,,0,,0
TN,Race Not Available,Ethnicity Not Available,Sex Not Available,35-44,FSA/RHS:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Bajo,1,335000.0,121.0,1,0.728,1,8662.63,1,7.125,1,14985.01,1,6887.63,1,355000.0,1
TN,White,Not Hispanic or Latino,Joint,65-74,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Bajo (<$205K),Alto ($485K+),Bajo (<79.7%),Normal (0 a 1.29),Bajo (<30%),Bajo,2,250000.0,340.0,2,0.8300000000000001,2,7488.69,2,13.625,2,11946.66,2,2792.69,2,2230000.0,2
TN,White,Not Hispanic or Latino,Female,35-44,VA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Bajo (<$205K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Bajo,5,825000.0,210.0,5,,0,,0,,0,,0,,0,,0
TN,Race Not Available,Ethnicity Not Available,Sex Not Available,25-34,Conventional:First Lien,Incomplete,Process-based leakage,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,2,720000.0,93.0,2,,0,,0,,0,,0,,0,,0
TN,White,Not Hispanic or Latino,Joint,45-54,VA:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Medio ($265K-$485K),Alto (94.3%+),Mejor que el mercado (<0),Bajo (<30%),Bajo,2,690000.0,277.0,2,-1.1322,2,2205.19,2,12.125,2,23472.120000000003,2,2205.19,1,680000.0,2
NJ,Race Not Available,Ethnicity Not Available,Male,65-74,Conventional:First Lien,Denied,Risk-based leakage,Collateral,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Medio (79.7%-94.3%),Unknown (Withdrawn/Incomplete),Bajo (<30%),Alto,1,715000.0,534.0,1,,0,,0,,0,,0,,0,885000.0,1
NJ,Asian,Not Hispanic or Latino,Male,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Alto,27,17965000.0,5643.0,27,14.513000000000002,27,113857.23,27,187.504,27,233896.13,27,43741.29,9,18825000.0,27
NJ,White,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Denied,Risk-based leakage,Debt-to-income ratio,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Unknown (Withdrawn/Incomplete),Alto (50%+),Alto,1,645000.0,286.0,1,,0,,0,,0,,0,,0,675000.0,1
WA,Race Not Available,Not Hispanic or Latino,Joint,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Alto ($146K+),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Normal (0 a 1.29),Bajo (<30%),Medio,1,555000.0,222.0,1,0.182,1,9611.05,1,7.125,1,12681.24,1,8271.05,1,565000.0,1
WA,White,Not Hispanic or Latino,Male,25-34,FHA:First Lien,Withdrawn,Process-based leakage,Not applicable,False,Bajo (<$76K),Medio ($205K-$405K),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Medio,4,1170000.0,261.0,4,,0,,0,,0,,0,,0,,0
WA,White,Not Hispanic or Latino,Female,35-44,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,11,5775000.0,1356.0,11,6.491,11,64430.6,11,73.86500000000001,11,94939.32,11,50635.59999999999,8,6025000.0,11
WA,White,Not Hispanic or Latino,Joint,<25,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Alto (94.3%+),Normal (0 a 1.29),Medio (30%-50%),Medio,11,5625000.0,1300.0,11,3.5262,11,52836.20999999999,11,68.979,11,88298.34,11,27386.5,5,5905000.0,11
WA,Race Not Available,Ethnicity Not Available,Joint,45-54,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Medio ($205K-$405K),Alto ($485K+),Bajo (<79.7%),Normal (0 a 1.29),Medio (30%-50%),Alto,1,265000.0,96.0,1,0.288,1,1125.0,1,5.875,1,4027.96,1,,0,615000.0,1
WA,Asian,Not Hispanic or Latino,Joint,45-54,Conventional:First Lien,Incomplete,Process-based leakage,Not applicable,False,Alto ($146K+),Alto ($405K+),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown (Withdrawn/Incomplete),Unknown,Alto,7,8265000.0,2452.0,7,,0,,0,,0,,0,,0,,0
WA,Race Not Available,Ethnicity Not Available,Sex Not Available,25-34,Conventional:First Lien,Originated,Originated,Not applicable,False,Medio ($76K-$146K),Alto ($405K+),Alto ($485K+),Bajo (<79.7%),Mejor que el mercado (<0),Medio (30%-50%),Alto,12,5800000.0,1343.0,12,-5.983,12,75363.43,12,72.355,12,117206.46,12,55814.43,7,9240000.0,12
